customer_id,gender,senior_citizen,tenure_months,contract_type,internet_service,payment_method,dependents,partner,tech_support,monthly_charges,total_charges,city,region,churn
C00020,Male,0,8,One year,DSL,Electronic check,No,No,No,43.17,355.57,Orlando,US-East,Yes
C00021,Male,0,3,Two year,Fiber optic,Credit card,No,No,No,66.98,209.94,Seattle,US-West,Yes
C00022,Male,0,14,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,75.36,1075.32,Denver,US-West,No
C00023,Male,0,30,One year,Fiber optic,Mailed check,Yes,No,Yes,75.77,2302.83,Boston,US-South,No
C00024,Female,0,32,One year,Fiber optic,Credit card,No,Yes,Yes,74.86,2403.57,Seattle,US-East,Yes
C00025,Male,0,42,Month-to-month,Fiber optic,Electronic check,No,No,Yes,69.64,2951.24,Phoenix,US-East,No
C00026,Female,0,27,One year,Fiber optic,Electronic check,No,No,No,62.92,1722.37,Austin,US-North,Yes
C00027,Male,0,1,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,68.55,62.63,Orlando,US-South,Yes
C00028,Female,0,13,One year,Fiber optic,Bank transfer,No,Yes,Yes,73.56,985.29,Seattle,US-North,No
C00029,Male,0,11,Month-to-month,DSL,Mailed check,No,Yes,Yes,50.18,576.67,Denver,US-North,No
C00030,Female,1,7,One year,Fiber optic,Credit card,No,Yes,Yes,75.32,529.38,Orlando,US-South,No
C00031,Female,0,25,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,77.71,1937.55,Phoenix,US-North,Yes
C00032,Male,0,30,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,72.39,2158.58,Orlando,US-South,Yes
C00033,Male,0,2,One year,DSL,Mailed check,No,Yes,No,43.64,104.87,Miami,US-North,No
C00034,Male,1,18,One year,DSL,Bank transfer,Yes,No,No,49.82,924.78,Austin,US-East,No
C00035,Male,0,18,One year,DSL,Credit card,No,No,No,42.04,777.62,Austin,US-East,No
C00036,Female,0,26,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,67.43,1755.4,Orlando,US-East,Yes
C00037,Male,0,27,One year,Fiber optic,Credit card,Yes,Yes,Yes,75.39,2051.68,Orlando,US-West,No
C00038,Female,0,29,One year,None,Credit card,No,Yes,No,20.19,573.95,Chicago,US-West,No
C00039,Female,0,29,Month-to-month,Fiber optic,Credit card,No,Yes,No,67.6,1985.31,Seattle,US-North,No
C00040,Female,0,19,Month-to-month,None,Bank transfer,No,No,No,21.14,392.1,Phoenix,US-West,Yes
C00041,Female,0,38,Two year,Fiber optic,Electronic check,No,No,No,65.97,2511.12,Miami,US-West,Yes
C00042,Male,0,13,One year,DSL,Electronic check,No,Yes,Yes,56.51,754.96,Miami,US-North,No
C00043,Male,0,40,Month-to-month,DSL,Credit card,Yes,Yes,No,43.4,1742.25,Orlando,US-West,Yes
C00044,Female,0,27,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,73.51,2006.3,Chicago,US-West,No
C00045,Female,0,13,Month-to-month,DSL,Electronic check,No,No,Yes,48.22,651.04,Seattle,US-North,Yes
C00046,Female,0,19,Month-to-month,Fiber optic,Mailed check,Yes,No,No,71.49,1353.03,Seattle,US-North,Yes
C00047,Female,0,12,One year,None,Electronic check,No,No,No,27.65,338.84,Chicago,US-North,Yes
C00048,Male,0,26,Month-to-month,Fiber optic,Mailed check,Yes,No,No,71.31,1879.33,Miami,US-East,Yes
C00049,Male,0,37,Month-to-month,Fiber optic,Electronic check,No,No,Yes,68.77,2553.09,Boston,US-West,No
C00050,Male,0,13,Month-to-month,DSL,Mailed check,Yes,Yes,No,44.67,589.39,Miami,US-North,No
C00051,Female,0,30,One year,Fiber optic,Electronic check,No,Yes,No,69.65,2106.82,Boston,US-South,No
C00052,Male,0,45,One year,Fiber optic,Electronic check,No,Yes,No,64.54,2899.26,Orlando,US-East,No
C00053,Female,0,33,Two year,Fiber optic,Credit card,No,Yes,Yes,74.56,2464.17,Denver,US-North,No
C00054,Female,1,13,Two year,DSL,Mailed check,No,Yes,Yes,58.29,776.35,Boston,US-West,Yes
C00055,Female,0,25,Month-to-month,Fiber optic,Mailed check,No,No,Yes,76.46,1910.39,Austin,US-East,No
C00056,Female,0,25,Month-to-month,Fiber optic,Electronic check,No,No,No,64.73,1631.39,Boston,US-East,Yes
C00057,Female,0,30,One year,DSL,Electronic check,Yes,No,No,44.88,1363.65,Orlando,US-West,No
C00058,Male,0,17,Month-to-month,DSL,Mailed check,Yes,No,Yes,55.87,955.75,Orlando,US-North,No
C00059,Female,0,20,Two year,Fiber optic,Bank transfer,Yes,Yes,No,67.07,1361.67,Seattle,US-North,No
C00060,Male,0,22,Month-to-month,Fiber optic,Credit card,No,No,No,72.87,1600.06,Austin,US-North,Yes
C00061,Female,1,29,Month-to-month,Fiber optic,Mailed check,Yes,No,No,70.36,2060.53,Orlando,US-West,Yes
C00062,Female,0,20,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,64.07,1269.32,Seattle,US-South,Yes
C00063,Male,0,27,Month-to-month,DSL,Bank transfer,No,Yes,Yes,49.31,1324.9,Seattle,US-East,No
C00064,Female,0,21,Month-to-month,DSL,Bank transfer,No,Yes,No,49.81,1046.75,Phoenix,US-South,Yes
C00065,Male,0,21,One year,Fiber optic,Electronic check,No,No,Yes,71.43,1494.18,Chicago,US-East,No
C00066,Female,0,38,Month-to-month,DSL,Credit card,Yes,Yes,No,46.51,1765.13,Miami,US-West,Yes
C00067,Female,0,42,One year,DSL,Electronic check,No,No,No,43.72,1826.35,Phoenix,US-North,Yes
C00068,Male,0,24,Month-to-month,Fiber optic,Bank transfer,No,No,No,70.11,1675.37,Denver,US-South,Yes
C00069,Male,0,1,Two year,Fiber optic,Electronic check,No,No,No,62.59,89.27,Denver,US-South,Yes
C00070,Female,0,23,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,71.95,1646.58,Seattle,US-East,No
C00071,Male,0,16,Month-to-month,DSL,Bank transfer,No,Yes,Yes,52.28,838.02,Denver,US-East,No
C00072,Male,0,32,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,73.21,2332.54,Boston,US-West,Yes
C00073,Male,0,4,Month-to-month,Fiber optic,Mailed check,No,No,Yes,76.27,330.35,Denver,US-East,Yes
C00074,Male,1,21,One year,DSL,Electronic check,No,No,No,52.08,1086.11,Seattle,US-East,No
C00075,Female,0,21,Month-to-month,None,Electronic check,Yes,No,No,23.51,506.42,Phoenix,US-East,Yes
C00076,Male,0,32,Month-to-month,None,Bank transfer,No,Yes,No,18.27,593.52,Phoenix,US-North,No
C00077,Male,0,1,One year,Fiber optic,Electronic check,No,Yes,Yes,68.9,64.25,Miami,US-West,No
C00078,Female,0,16,Two year,DSL,Mailed check,No,No,No,44.44,709.13,Boston,US-West,No
C00079,Male,0,24,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,74.42,1797.59,Chicago,US-South,Yes
C00080,Male,0,39,One year,DSL,Electronic check,Yes,Yes,No,44.97,1775.35,Miami,US-West,No
C00081,Female,0,8,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,78.03,613.96,Seattle,US-South,No
C00082,Female,0,20,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,71.3,1413.18,Chicago,US-East,No
C00083,Female,1,21,One year,Fiber optic,Electronic check,Yes,Yes,Yes,71.69,1524.22,Orlando,US-East,No
C00084,Female,0,8,One year,DSL,Mailed check,No,Yes,No,51.84,403.56,Denver,US-West,No
C00085,Male,1,24,Two year,Fiber optic,Electronic check,No,Yes,No,72.14,1760.53,Chicago,US-North,No
C00086,Male,1,28,Month-to-month,DSL,Credit card,No,Yes,No,42.86,1226.07,Miami,US-East,Yes
C00087,Male,0,39,One year,Fiber optic,Electronic check,No,Yes,Yes,68.51,2695.43,Seattle,US-East,No
C00088,Female,0,50,Month-to-month,Fiber optic,Electronic check,No,No,No,71.08,3567.42,Austin,US-South,Yes
C00089,Male,0,15,Month-to-month,Fiber optic,Electronic check,No,Yes,No,72.01,1099.77,Chicago,US-West,No
C00090,Male,0,14,Month-to-month,Fiber optic,Electronic check,No,Yes,No,69.86,1000.29,Orlando,US-South,No
C00091,Female,0,28,Two year,Fiber optic,Credit card,No,No,Yes,73.44,2056.94,Orlando,US-South,No
C00092,Female,0,41,Two year,Fiber optic,Electronic check,No,No,No,72.9,2999.16,Phoenix,US-West,Yes
C00093,Male,0,2,Month-to-month,DSL,Electronic check,Yes,Yes,No,47.51,97.09,Seattle,US-North,No
C00094,Male,0,37,One year,DSL,Credit card,No,Yes,Yes,57.27,2133.78,Denver,US-North,No
C00095,Female,0,21,Month-to-month,DSL,Bank transfer,No,Yes,No,51.09,1085.67,Seattle,US-West,No
C00096,Female,0,30,Month-to-month,Fiber optic,Mailed check,No,Yes,No,63.12,1895.89,Orlando,US-West,No
C00097,Female,0,42,Month-to-month,DSL,Electronic check,Yes,No,No,44.45,1896.04,Miami,US-South,Yes
C00098,Female,0,38,Month-to-month,DSL,Mailed check,No,No,No,46.63,1767.23,Seattle,US-South,No
C00099,Male,0,15,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,72.66,1095.38,Boston,US-South,No
C00100,Female,0,37,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,76.6,2861.53,Austin,US-North,No
C00101,Male,0,4,One year,DSL,Electronic check,No,Yes,No,46.32,204.6,Phoenix,US-East,Yes
C00102,Female,0,20,Month-to-month,Fiber optic,Electronic check,No,No,Yes,70.92,1413.5,Seattle,US-North,No
C00103,Female,0,36,One year,DSL,Electronic check,No,Yes,No,45.88,1665.43,Boston,US-North,No
C00104,Female,0,37,One year,DSL,Electronic check,No,Yes,No,49.56,1862.95,Chicago,US-East,No
C00105,Female,0,16,Month-to-month,DSL,Electronic check,No,Yes,Yes,52.24,824.68,Phoenix,US-South,No
C00106,Female,0,13,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,69.57,899.92,Phoenix,US-South,No
C00107,Male,1,23,Two year,DSL,Bank transfer,No,No,No,51.23,1172.17,Austin,US-North,No
C00108,Male,0,14,Month-to-month,Fiber optic,Electronic check,No,Yes,No,63.59,897.37,Miami,US-South,Yes
C00109,Female,0,5,One year,Fiber optic,Electronic check,No,Yes,No,69.0,331.28,Phoenix,US-East,No
C00110,Female,0,15,Two year,Fiber optic,Bank transfer,No,Yes,No,66.03,996.8,Seattle,US-West,No
C00111,Female,0,21,Month-to-month,Fiber optic,Credit card,No,No,No,65.79,1375.75,Austin,US-West,Yes
C00112,Male,0,25,Month-to-month,DSL,Credit card,No,Yes,No,51.74,1303.04,Orlando,US-East,Yes
C00113,Male,0,27,One year,Fiber optic,Credit card,No,Yes,Yes,75.41,2052.08,Austin,US-South,No
C00114,Male,0,9,Month-to-month,DSL,Electronic check,Yes,Yes,No,52.05,482.96,Denver,US-West,Yes
C00115,Female,1,23,Month-to-month,DSL,Credit card,No,No,No,51.07,1194.43,Boston,US-North,Yes
C00116,Male,0,24,Month-to-month,DSL,Mailed check,No,No,No,43.12,1048.88,Denver,US-East,Yes
C00117,Female,0,19,Two year,Fiber optic,Mailed check,Yes,Yes,No,64.66,1246.55,Miami,US-West,Yes
C00118,Male,0,16,Month-to-month,DSL,Bank transfer,No,No,Yes,58.61,955.03,Miami,US-East,Yes
C00119,Female,0,21,One year,Fiber optic,Electronic check,No,No,No,69.45,1449.97,Phoenix,US-South,No
C00120,Female,0,14,One year,Fiber optic,Electronic check,No,Yes,Yes,74.84,1062.05,Phoenix,US-East,No
C00121,Male,0,17,Two year,Fiber optic,Bank transfer,No,No,No,65.12,1092.12,Boston,US-South,Yes
C00122,Male,0,33,Month-to-month,DSL,Mailed check,Yes,No,No,48.03,1604.96,Austin,US-North,No
C00123,Female,0,22,Month-to-month,DSL,Bank transfer,No,Yes,Yes,56.26,1258.34,Austin,US-West,No
C00124,Male,0,1,Month-to-month,DSL,Mailed check,No,No,No,44.08,37.73,Orlando,US-West,Yes
C00125,Female,0,15,Month-to-month,None,Electronic check,Yes,No,No,18.72,292.67,Miami,US-East,Yes
C00126,Male,0,21,Two year,DSL,Credit card,Yes,No,Yes,49.07,1035.58,Denver,US-West,No
C00127,Male,0,33,Month-to-month,Fiber optic,Electronic check,No,No,No,71.84,2394.55,Austin,US-East,No
C00128,Female,0,21,Month-to-month,Fiber optic,Mailed check,No,Yes,No,66.08,1383.26,Denver,US-East,No
C00129,Female,1,36,Month-to-month,None,Electronic check,No,No,No,22.32,793.07,Miami,US-South,Yes
C00130,Female,0,27,Month-to-month,DSL,Electronic check,No,Yes,Yes,52.18,1413.72,Miami,US-North,No
C00131,Male,0,34,Month-to-month,DSL,Electronic check,No,No,No,52.19,1776.79,Austin,US-North,Yes
C00132,Female,0,40,Month-to-month,Fiber optic,Electronic check,No,No,Yes,72.97,2943.82,Denver,US-West,Yes
C00133,Female,0,27,One year,Fiber optic,Electronic check,No,Yes,No,63.26,1737.06,Seattle,US-North,Yes
C00134,Female,0,29,One year,None,Electronic check,Yes,Yes,Yes,27.29,795.11,Orlando,US-South,Yes
C00135,Male,0,7,Month-to-month,DSL,Mailed check,Yes,Yes,Yes,52.5,364.96,Denver,US-South,Yes
C00136,Male,0,21,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,74.74,1586.39,Orlando,US-South,No
C00137,Male,0,20,One year,Fiber optic,Bank transfer,No,No,No,67.42,1334.1,Chicago,US-South,No
C00138,Female,0,9,Month-to-month,None,Electronic check,No,No,No,20.92,215.23,Austin,US-East,No
C00139,Female,0,31,Month-to-month,DSL,Electronic check,No,Yes,No,52.49,1634.46,Denver,US-East,No
C00140,Male,1,1,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,69.06,85.51,Miami,US-North,Yes
C00141,Male,0,41,One year,Fiber optic,Electronic check,No,No,Yes,69.34,2846.19,Seattle,US-South,Yes
C00142,Male,0,36,Month-to-month,Fiber optic,Mailed check,Yes,No,No,68.57,2480.65,Miami,US-West,Yes
C00143,Female,0,32,One year,DSL,Mailed check,No,Yes,No,45.57,1449.84,Phoenix,US-South,No
C00144,Female,0,5,Month-to-month,Fiber optic,Electronic check,No,Yes,No,64.48,326.33,Chicago,US-East,Yes
C00145,Male,0,16,One year,Fiber optic,Credit card,No,No,Yes,73.72,1184.04,Orlando,US-East,No
C00146,Female,0,14,Month-to-month,Fiber optic,Mailed check,No,No,Yes,74.49,1069.8,Denver,US-West,Yes
C00147,Female,0,19,One year,Fiber optic,Electronic check,No,Yes,Yes,74.03,1408.08,Orlando,US-North,No
C00148,Female,0,41,Month-to-month,Fiber optic,Electronic check,No,No,Yes,78.17,3197.27,Phoenix,US-West,No
C00149,Female,0,28,Month-to-month,Fiber optic,Credit card,No,Yes,No,67.69,1917.86,Austin,US-South,Yes
C00150,Male,0,16,One year,Fiber optic,Electronic check,No,Yes,No,63.05,1032.33,Chicago,US-West,No
C00151,Male,0,31,Month-to-month,Fiber optic,Electronic check,No,Yes,No,65.07,2030.13,Chicago,US-North,Yes
C00152,Female,0,29,Month-to-month,Fiber optic,Credit card,No,Yes,No,71.35,2076.63,Denver,US-West,Yes
C00153,Male,0,15,One year,Fiber optic,Mailed check,No,Yes,Yes,78.69,1205.46,Miami,US-East,No
C00154,Female,0,28,Month-to-month,None,Bank transfer,No,No,No,22.69,651.16,Phoenix,US-East,Yes
C00155,Female,0,26,Month-to-month,Fiber optic,Credit card,No,No,Yes,70.07,1825.78,Phoenix,US-East,Yes
C00156,Male,0,22,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,71.78,1606.25,Boston,US-South,No
C00157,Female,0,28,Month-to-month,Fiber optic,Credit card,Yes,No,No,69.95,1974.73,Miami,US-West,Yes
C00158,Male,1,46,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,68.24,3163.24,Denver,US-South,No
C00159,Female,0,30,Month-to-month,Fiber optic,Electronic check,No,No,No,66.74,2023.21,Phoenix,US-South,No
C00160,Male,0,33,Month-to-month,Fiber optic,Electronic check,No,No,Yes,72.95,2409.7,Boston,US-East,Yes
C00161,Female,0,22,Month-to-month,DSL,Electronic check,Yes,No,No,46.6,1021.54,Austin,US-South,No
C00162,Female,0,30,Month-to-month,Fiber optic,Electronic check,No,Yes,No,62.96,1881.45,Miami,US-West,Yes
C00163,Female,0,33,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,70.69,2326.37,Seattle,US-North,Yes
C00164,Male,0,31,Month-to-month,DSL,Electronic check,Yes,Yes,No,50.66,1580.43,Seattle,US-South,Yes
C00165,Female,0,19,Two year,Fiber optic,Mailed check,No,Yes,No,63.44,1222.15,Chicago,US-West,Yes
C00166,Male,0,10,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,70.1,720.42,Denver,US-West,Yes
C00167,Male,0,28,One year,Fiber optic,Bank transfer,Yes,No,Yes,73.5,2056.36,Orlando,US-East,Yes
C00168,Male,0,25,One year,Fiber optic,Electronic check,No,No,No,68.91,1746.59,Denver,US-East,No
C00169,Female,0,16,Month-to-month,DSL,Bank transfer,Yes,No,Yes,54.92,871.89,Seattle,US-East,Yes
C00170,Female,0,12,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,75.02,893.33,Chicago,US-West,No
C00171,Female,0,1,Month-to-month,DSL,Credit card,No,No,No,49.66,78.5,Miami,US-West,No
C00172,Male,0,9,Month-to-month,None,Electronic check,No,No,No,19.43,183.6,Boston,US-North,Yes
C00173,Female,0,20,One year,Fiber optic,Electronic check,No,Yes,No,72.21,1434.94,Miami,US-West,No
C00174,Male,0,1,Two year,DSL,Credit card,Yes,Yes,Yes,52.53,46.59,Denver,US-North,Yes
C00175,Female,0,22,Month-to-month,None,Electronic check,Yes,No,Yes,29.2,642.41,Boston,US-South,No
C00176,Male,0,36,Month-to-month,DSL,Bank transfer,Yes,Yes,Yes,50.27,1797.43,Seattle,US-East,Yes
C00177,Female,0,30,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,70.25,2096.28,Orlando,US-East,No
C00178,Female,1,28,Month-to-month,DSL,Electronic check,No,Yes,Yes,54.75,1550.88,Seattle,US-East,No
C00179,Male,0,33,Month-to-month,Fiber optic,Mailed check,No,No,No,63.12,2100.31,Phoenix,US-North,Yes
C00180,Male,0,23,Month-to-month,Fiber optic,Electronic check,No,No,Yes,68.63,1568.32,Boston,US-East,No
C00181,Male,0,14,Month-to-month,DSL,Electronic check,No,Yes,No,52.67,726.41,Chicago,US-North,Yes
C00182,Male,0,22,Month-to-month,Fiber optic,Credit card,No,No,Yes,68.79,1500.87,Phoenix,US-East,No
C00183,Female,0,29,One year,Fiber optic,Electronic check,No,No,No,67.16,1957.06,Boston,US-South,No
C00184,Female,1,19,Month-to-month,DSL,Electronic check,No,No,Yes,54.28,1059.2,Denver,US-West,No
C00185,Female,0,6,Month-to-month,DSL,Bank transfer,Yes,No,No,52.37,315.42,Chicago,US-North,Yes
C00186,Female,0,4,Month-to-month,DSL,Credit card,Yes,No,Yes,49.04,205.04,Chicago,US-South,Yes
C00187,Female,0,16,Month-to-month,DSL,Electronic check,No,Yes,No,51.5,833.78,Austin,US-East,No
C00188,Female,0,19,Month-to-month,Fiber optic,Mailed check,No,No,Yes,76.54,1441.85,Phoenix,US-East,Yes
C00189,Male,0,34,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,69.26,2372.61,Phoenix,US-West,Yes
C00190,Male,0,18,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,74.64,1333.0,Austin,US-East,No
C00191,Male,0,26,One year,DSL,Electronic check,Yes,Yes,No,44.04,1154.98,Boston,US-South,No
C00192,Female,0,34,One year,DSL,Mailed check,Yes,Yes,Yes,53.52,1843.97,Miami,US-East,No
C00193,Male,0,12,One year,None,Bank transfer,No,Yes,No,22.69,273.52,Orlando,US-South,No
C00194,Male,0,9,One year,DSL,Electronic check,No,No,Yes,51.69,471.96,Seattle,US-North,No
C00195,Male,0,21,Month-to-month,Fiber optic,Mailed check,No,No,No,63.53,1350.57,Austin,US-South,No
C00196,Female,0,15,One year,Fiber optic,Electronic check,No,No,No,69.49,1041.03,Phoenix,US-South,No
C00197,Female,1,19,One year,DSL,Mailed check,No,No,No,50.9,996.95,Seattle,US-East,Yes
C00198,Female,0,11,Month-to-month,DSL,Mailed check,No,Yes,No,44.77,503.21,Phoenix,US-East,No
C00199,Male,0,28,Month-to-month,None,Electronic check,No,Yes,No,17.75,503.8,Orlando,US-West,No
C00200,Male,0,25,One year,Fiber optic,Electronic check,Yes,Yes,No,65.11,1635.34,Seattle,US-East,Yes
C00201,Male,0,41,Two year,Fiber optic,Electronic check,Yes,No,No,69.04,2857.17,Phoenix,US-East,Yes
C00202,Female,0,32,One year,Fiber optic,Electronic check,No,Yes,No,65.68,2109.01,Orlando,US-North,No
C00203,Male,0,14,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,70.32,993.31,Phoenix,US-West,No
C00204,Female,0,37,One year,DSL,Electronic check,No,No,Yes,54.81,2049.58,Miami,US-West,No
C00205,Female,0,12,Month-to-month,Fiber optic,Credit card,Yes,No,No,63.66,777.22,Austin,US-East,Yes
C00206,Male,0,33,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,71.93,2397.88,Denver,US-East,No
C00207,Female,0,23,Month-to-month,DSL,Electronic check,No,No,Yes,57.94,1322.47,Austin,US-North,No
C00208,Female,0,56,Month-to-month,Fiber optic,Mailed check,No,No,Yes,70.77,3959.92,Seattle,US-West,Yes
C00209,Male,0,13,Two year,Fiber optic,Mailed check,No,No,No,70.46,943.92,Orlando,US-West,Yes
C00210,Male,0,26,Month-to-month,DSL,Electronic check,No,No,No,48.37,1282.35,Phoenix,US-East,Yes
C00211,Female,0,47,Month-to-month,Fiber optic,Electronic check,No,Yes,No,63.66,3010.14,Denver,US-North,Yes
C00212,Female,0,1,Month-to-month,None,Bank transfer,No,No,Yes,25.58,46.23,Miami,US-South,No
C00213,Male,0,15,Month-to-month,DSL,Electronic check,Yes,No,No,47.78,701.82,Denver,US-East,Yes
C00214,Female,0,3,Two year,Fiber optic,Mailed check,No,No,Yes,68.8,223.06,Orlando,US-East,Yes
C00215,Male,0,42,Two year,Fiber optic,Electronic check,Yes,No,Yes,71.64,3012.35,Orlando,US-North,No
C00216,Female,0,28,Month-to-month,None,Electronic check,No,Yes,Yes,33.98,936.68,Orlando,US-North,No
C00217,Male,0,19,One year,Fiber optic,Bank transfer,No,No,No,66.87,1285.59,Miami,US-North,No
C00218,Female,0,17,Month-to-month,None,Electronic check,No,No,Yes,30.83,526.82,Phoenix,US-East,No
C00219,Male,1,22,One year,DSL,Electronic check,No,No,No,42.72,958.92,Seattle,US-South,No
C00220,Female,0,12,Month-to-month,DSL,Electronic check,No,No,No,51.55,605.55,Boston,US-East,Yes
C00221,Female,0,21,Month-to-month,DSL,Credit card,No,Yes,Yes,58.97,1254.65,Chicago,US-South,No
C00222,Male,0,27,Month-to-month,Fiber optic,Bank transfer,No,No,No,64.78,1759.09,Orlando,US-East,Yes
C00223,Male,0,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,69.41,97.54,Phoenix,US-East,Yes
C00224,Female,0,14,Month-to-month,DSL,Mailed check,No,No,Yes,50.62,731.92,Seattle,US-West,Yes
C00225,Male,0,19,One year,Fiber optic,Credit card,No,No,No,62.28,1194.99,Chicago,US-North,No
C00226,Female,1,26,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,70.56,1828.57,Orlando,US-West,No
C00227,Female,0,28,Month-to-month,DSL,Electronic check,Yes,No,No,42.61,1208.72,Chicago,US-East,No
C00228,Female,1,27,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,78.8,2120.98,Orlando,US-East,No
C00229,Female,0,16,Month-to-month,DSL,Bank transfer,No,Yes,Yes,52.8,854.08,Denver,US-East,Yes
C00230,Male,0,13,Month-to-month,Fiber optic,Credit card,No,Yes,No,64.2,860.97,Miami,US-West,No
C00231,Male,0,8,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,68.51,553.54,Chicago,US-South,No
C00232,Male,0,30,Month-to-month,DSL,Electronic check,No,Yes,No,43.98,1345.91,Denver,US-North,No
C00233,Male,0,17,Month-to-month,DSL,Electronic check,No,Yes,Yes,49.05,854.14,Boston,US-South,No
C00234,Female,0,13,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,72.91,966.95,Phoenix,US-South,No
C00235,Female,1,11,Month-to-month,DSL,Mailed check,No,Yes,Yes,55.05,600.6,Austin,US-South,No
C00236,Female,0,42,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,64.32,2715.97,Austin,US-West,Yes
C00237,Female,0,22,Two year,Fiber optic,Credit card,No,No,No,62.97,1376.63,Seattle,US-West,Yes
C00238,Male,0,7,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,71.85,509.6,Phoenix,US-South,Yes
C00239,Male,0,20,Month-to-month,Fiber optic,Credit card,No,No,No,62.37,1255.5,Denver,US-North,Yes
C00240,Female,0,26,One year,DSL,Electronic check,No,Yes,Yes,55.09,1455.0,Orlando,US-East,No
C00241,Male,1,32,Month-to-month,Fiber optic,Electronic check,Yes,No,No,66.04,2107.18,Seattle,US-South,Yes
C00242,Male,0,31,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,69.72,2155.81,Austin,US-South,No
C00243,Male,1,34,One year,Fiber optic,Credit card,Yes,No,Yes,70.68,2422.99,Miami,US-South,No
C00244,Male,0,21,Two year,Fiber optic,Credit card,No,No,Yes,76.92,1621.1,Miami,US-West,No
